software.n.01,5
propulsion.n.02,5
separation.n.09,5
cutter.n.06,5
drygoods.n.01,5
conductor.n.04,5
shield.n.01,5
cattle.n.01,5
ape.n.01,5
percoid_fish.n.01,5
metatherian.n.01,5
condiment.n.01,5
stringed_instrument.n.01,5
percussion_instrument.n.01,5
bulbous_plant.n.01,5
quadrilateral.n.01,5
enterprise.n.02,5
design.n.02,5
running_away.n.01,5
military_action.n.01,5
sphere.n.05,5
copy.n.02,5
crucifer.n.01,5
fungus.n.01,5
engine.n.01,5
hat.n.01,4
sweet.n.03,4
telescope.n.01,4
berry.n.01,4
melon.n.02,4
discipline.n.01,4
plate.n.14,4
dog.n.01,4
sausage.n.01,4
cube.n.05,4
land.n.04,4
ball.n.03,4
truck.n.01,4
cosmetic.n.01,4
elimination.n.02,4
information.n.01,4
cleansing_agent.n.01,4
change_of_state.n.01,4
outgo.n.01,4
clergyman.n.01,4
holy_order.n.01,4
red.n.01,4
domestic_fowl.n.01,4
striker.n.05,4
amerind.n.01,4
emblem.n.02,4
game_bird.n.01,4
attacker.n.01,4
projection.n.04,4
sexual_activity.n.01,4
facial_hair.n.01,4
body_substance.n.01,4
kin.n.02,4
physical_property.n.01,4
land.n.02,4
variety_meat.n.01,4
ill_health.n.01,4
feature.n.02,4
box.n.01,4
sense_organ.n.01,4
exteroception.n.01,4
modality.n.03,4
attention.n.01,4
character.n.08,4
army_unit.n.01,4
form.n.10,4
plant_process.n.01,4
property.n.04,4
player.n.01,4
subject.n.01,4
inhabitant.n.01,4
advocate.n.01,4
housing.n.02,4
mistreatment.n.01,4
policy.n.02,4
overgarment.n.01,4
baseball_equipment.n.01,4
principal.n.05,4
breath.n.01,4
cord.n.01,4
role.n.04,4
musical_notation.n.01,4
class.n.03,4
monetary_unit.n.01,4
metallic_element.n.01,4
measuring_instrument.n.01,4
electro-acoustic_transducer.n.01,4
telecommunication.n.01,4
communication_system.n.01,4
sound_property.n.01,4
kinswoman.n.01,4
peer.n.01,4
juvenile.n.01,4
creator.n.02,4
pictorial_representation.n.01,4
facility.n.01,4
padding.n.01,4
storage_space.n.01,4
assistant.n.01,4
plan_of_action.n.01,4
topographic_point.n.01,4
place_of_business.n.01,4
passageway.n.01,4
choice.n.02,4
volume_unit.n.01,4
microorganism.n.01,4
program.n.07,4
crockery.n.01,4
kitchen_appliance.n.01,4
white_goods.n.02,4
golf_equipment.n.01,4
musteline_mammal.n.01,4
paper_money.n.01,4
anthropoid_ape.n.01,4
lagomorph.n.01,4
marsupial.n.01,4
stick.n.01,4
seafood.n.01,4
classification.n.03,4
soft-finned_fish.n.01,4
woodwind.n.01,4
evidence.n.01,4
spermatophyte.n.01,4
liliaceous_plant.n.01,4
building_complex.n.01,4
crystal.n.01,4
business.n.01,4
configuration.n.01,4
escape.n.01,4
acknowledgment.n.03,4
change.n.01,4
negotiable_instrument.n.01,4
nonworker.n.01,4
cruciferous_vegetable.n.01,4
basidiomycete.n.01,4
squash.n.01,4
discharge.n.01,4
fluid.n.02,4
duck.n.01,3
side.n.04,3
animal_foot.n.01,3
question.n.02,3
temper.n.02,3
candy.n.01,3
male_child.n.01,3
class.n.01,3
female_child.n.01,3
melon.n.01,3
layer.n.01,3
room.n.02,3
glass.n.02,3
monkey.n.01,3
plant.n.01,3
paint.n.01,3
die.n.01,3
car.n.02,3
cloud.n.01,3
storm.n.01,3
hair_care.n.01,3
body_waste.n.01,3
fixture.n.01,3
improvement.n.02,3
cost.n.01,3
learner.n.01,3
follower.n.01,3
condition.n.03,3
protection.n.01,3
piece_of_cloth.n.01,3
priest.n.01,3
chicken.n.02,3
regulator.n.01,3
score.n.03,3
phasianid.n.01,3
projection.n.05,3
liquid_body_substance.n.01,3
nature.n.04,3
libertine.n.01,3
part.n.09,3
helping.n.01,3
injury.n.01,3
appendage.n.03,3
plant_product.n.01,3
sino-tibetan.n.01,3
pipe.n.02,3
know-how.n.01,3
front.n.04,3
digit.n.03,3
support.n.07,3
travel.n.01,3
secret_agent.n.01,3
versification.n.02,3
workman.n.01,3
feature.n.01,3
indicator.n.03,3
formation.n.01,3
globule.n.01,3
mark.n.10,3
character.n.03,3
angle.n.01,3
situation.n.01,3
flap.n.01,3
touch.n.05,3
corrective.n.01,3
